DRAFT - Annual Report data for 2011/12.,,,,Usage,,,,,,,,,,,,,,,,,,,,,,,,,Additional Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Yearly Total,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,AG,www.cps.gov.uk,Crown Prosecution Service,136812,164046,157753,137522,159543,183535,202053,224459,258776,251692,216895,209585,2302671,184671,216515,201130,179619,231533,253658,282897,320205,258776,367554,307375,294122,Ref 2 - No 'Very satisfied' option available on survey   Ref 9 - Service availability was actually 99.98%. This sheet rounds up to 100%                                                                                                                                        Ref 8.c - Manual testing in fact indicates conformance to AAA standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,UKSA,www.statistics.gov.uk/hub/index.html,ONS,124458,129231,103503,87642,91703,175789,219815,243725,161300,222350,224918,240468,2024902,156711,161307,129501,110216,115697,211299,271365,302106,198374,271106,271205,293813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DCMS,www.enjoyengland.com / www.visitengland.com ,VisitEngland,202935,316973,256580,141471,161163,113948,122450,109246,90950,154063,158456,252623,2080858,244988,361409,292210,166235,183553,132162,143384,127029,105200,179602,182553,291007,We have consumer websites under visitengland.com (enjoyengland.com is the domestic URL but same site. The costs outlined are combined between ourselves and VisitBritain for the website design / build maintenance and hosting as we share services. Content provision & evaluation are processed in-house. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.easytide.ukho.gov.uk/EasyTide/EasyTide/index.aspx,Admiralty EasyTide,95365,163431,179672,201365,210379,171177,153588,121927,108905,121204,105734,129927,1762674,170740,362860,386867,433928,437379,350474,319466,258038,226105,252368,217809,275699,"We do not yet measure TG126. This is something due to start this year, now that our websites have largely been rationalised.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DWP,www.pensionsadvisoryservice.org.uk ,The Pensions Advisory Service,117128,108540,127724,109881,113826,122940,147935,143404,108015,161342,161966,164731,1587432,185927,178657,202589,181868,186821,198059,231366,223515,171602,249609,250057,254035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,OFT,www.oft.gov.uk,Office of Fair Trading,136788,154490,155043,139311,138735,151236,159517,165002,138352,161014,162276,167627,1829391,190475,210802,222354,195230,197395,216228,227000,233831,191900,223301,229433,236678,"The OFT runs one corporate website, www.oft.gov.uk. Our audience is business, legal professionals, consumers and stakeholders. We also run www2.crw.gov.uk/pr/. This has not been reported on by OFT separately as this is an operational database tool, only accessed from the OFT website. Web interface costs for the database are included in this report. Costs reported for hosting and infrastructure have been allocated as a percentage of overall costs. We are currently carrying out a tendering exercise for the provision of our web services that are part of the broader OFT ICT contract which is due for renewal. The OFT will undergo significant changes in the next two to three years as a consequence of policy landscape changes and the contract needs to be flexible going forwards.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DfE,www.nationalcollege.org.uk,National College,80200,107156,105161,89361,58949,111461,114420,123100,83479,133854,112570,114759,1234470,174501,247284,243170,192982,137074,254953,246380,277631,164717,281032,225210,234134,"Quality measures:  based on 203 respondents to website survey run from 28.03.12 - 05.04.12.  Note the response option of 'poor' was omitted in error from the survey, therefore all negative responses are reported under 'very poor'. See also our Annual Opinion Survey results (April 2012) in respect of the website which has a much larger sample base of 1,150 school leaders (see notes below)Costs:  Costs quoted EXCLUDE £48k design and build costs associated with web integration (delivery of all National College public pages through www.education.gov.uk/nationalcollege from April 2012 using the DfE application framework).  These costs have been separately provided to beatrice.coker@education.gsi.gov.uk for reporting of web integration costs.   Costs for evaluation and testing do not include ongoing testing and Webtrends, which are included in the main contract costs for our technology partners BT, listed under hosting and infrastructure.Standards compliance:There are a few errors thrown up in CSS automated testing, but these almost all relate to CSS3 usage where a CSS2.1 compliant fall back exists for older browsers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DH,www.hpa.org.uk,Health Protection Agency,100138,116925,132983,99242,97677,120998,147393,148697,113068,143788,146073,169355,1536337,182023,206691,228342,175764,175947,204523,224701,251112,189585,241814,240721,231324,"8c & 8d) Manual testing was undertaken by Shaw Trust, including testing by disabled users to give a more stringent test than WCAG AA typically. This was completed in July 2010 and the certification lasts for one year, so this has expired. However the site has not been redesigned since this date, maintaining the same site templates that have previously been tested successfully so retesting has not been commissioned this year.9) See attached sheet for details of service availability12 b ) CSS compliance - 2 * CSS 3 non compliances maintained for backward compatibility with older version of IE (_width & *width)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOJ,www.legalservices.gov.uk,Legal Services,,,82790,80607,80019,87808,85930,82967,64341,90255,87633,84115,826465,,,174962,164485,174528,206127,202170,201050,146670,213513,208054,203789,Usage figures only avaialbe from June. Staff costs not available. Non-staff  costs etc are included in wider IT contract and cannot be separately identifed. Unable to obtain service availability figures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DFID,www.dfid.gov.uk,Department for International Development,128142,139546,132224,131134,133031,154933,128485,134007,100032,137883,133448,146397,1599262,171393,186109,177464,172113,174554,203465,166387,171630,128437,182019,178262,200663,Non staff costs include completion of the integration of the Research for Development (R4D) website on to the DFID platform; hosting costs for R4D database;  redevelopment and hosting of project information database; R4D content provision.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.slc.co.uk,Student Loans Company,,,,,,,,,154221,149732,141719,145715,591387,,,,,,,,,165372,175767,170497,175817,"As the site is new, there is an ongoing accessibolity test and improvement plan in place. Full AA compliance is expected by FY end 12-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DEFRA,www.naturalengland.org.uk,Nutural England,95776,104594,94137,92101,89787,92714,101211,99001,70023,104816,100172,113950,1158282,134428,147496,134464,134275,136375,132402,145109,147751,100334,153119,146655,167261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,OFQUAL,www.ofqual.gov.uk,Office of Qualifications and Examinations Regulation,29277,46508,57092,53001,37518,38738,36840,53926,43682,67550,63170,64779,592081,81115,114412,138178,135189,107062,90455,118302,144519,112460,182687,159446,159303,There are no figures included for the satisfaction survey as the number of responses received was too low.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DEFRA,www.wrap.org.uk,Wrap,88169,99609,91591,90085,92702,103091,107276,116500,74854,102067,111694,121548,1199186,106216,120467,111560,111866,115060,123716,129979,144451,92797,124148,134613,144377,Visit satisfaction rating was taken from 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DCMS,www.uksport.gov.uk,Uk Sport,58127,71189,70676,70577,79097,75340,76745,80949,59844,90056,83177,83970,899747,104693,128895,131708,130807,139989,128037,133321,137023,99251,152302,141629,143498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DCMS,www.artscouncil.org.uk,Arts Council,59151,61907,63754,60413,58231,69217,69805,83390,62506,78895,79351,80808,827428,96205,97534,99691,95865,92622,106580,108614,135218,101557,129945,129473,129561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DCMS,www.culture.gov.uk,"Department for Culture, Media and Sport",81218,92454,86250,70420,113599,72409,80258,92726,100312,125424,103188,100193,1118451,104084,121126,112820,96191,138043,98130,106677,121833,75799,160863,131255,129419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,CO,www.cabinetoffice.gov.uk,Cabinet Office,80802,91589,87387,160931,96942,91745,106646,142280,79573,96506,96515,92307,1223223,111426,126937,123145,160931,140666,128917,146934,190909,108159,133856,133924,128161,"Design and build = £1,800 for photography",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DEFRA,www.nationaltrail.co.uk,National Rail,88042,97597,82290,92546,91281,72305,64987,48605,40060,90216,63161,88721,919811,114094,126597,107135,118799,125990,96767,85642,63074,52626,121654,96643,120568,"In 2010/11 we gave figures for 3b and 3e. These were obtained from a one off survey that was carried out when looking at how to improve the website. However, we have no reason to think the figures have changed much from last year because we receive many emails praising the attractiveness and quality of the information. Regarding the Quality measures, the only survey carried out in 2011/12 is the online user survey which is more about how people use the Trails themselves. There is one section which asks questions about information provision, but it isn't specifically aimed at the website, it covers things like leaflets (which we are not allowed to print now) and Guide Books, so the answers to Q3c have been taken from that but need to be read in that context.  It should be noted that the visitor numbers in the Usage section do not include the visitors to 2 National Trails, which have their own website hosted by local arrangement. However the National Trails website is the main conduit for visitors to find these websites. If the visitor numbers for the other two websites were included, the figures woud be approximately 40% higher, as they are both very popular coastal trails.  The National Trails website was designed in 2005, at a time when many of the standards referred to did not exist, or when different architecture protocols were in use. It is therefore necessary to provide some narrative around the answers provided in the last section. Re 8b, the website complies with most of standard AA, but not all e.g. Flash/the interactive maps don't comply, however all the content can be accessed by other means. Re 8d, the website was tested when launched, but no ongoing testing has been undertaken. The website does have a low vision design feature. Re 9 - 'availability' is not measured on an ongoing basis, however, no incident of unplanned down time can be recalled during this period. There have been short periods of planned down time to implement security fixes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.skillsfundingagency.bis.gov.uk/,Skills Funding Agency,15855,14928,16601,17156,16146,17051,17823,18058,13223,16240,17489,16415,196985,106822,87272,112504,114938,124714,131431,129197,140687,105566,128261,132173,119415,Survey responses to Questions 1-3 are from Site Survey conducted in May 2011 (new survey on SFA site currently). Hosting costs are difficult to extract from the overall 'CONNECT' contract we (SFA & IM Services) have with Cap Gemini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DEFRA,www.recyclenow.com,Recycle Now,79893,96331,87590,64743,61942,90669,92735,98492,87783,126663,90849,99143,1076833,95105,115023,104534,75809,72929,109066,111437,120094,101838,148542,107963,117732,"Visitor satisfaction rating was taken from 2010. The design & build costs include one-off expenditure of £64,000 covering migration of the infrastucture to an open source platform.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,UKTI,www.ukti.gov.uk,UK Trade & Investment,72361,74406,74740,73513,65161,81088,89504,95637,76340,92660,91806,80742,967958,98629,102119,105396,103996,94072,113401,125673,134950,106467,133528,130692,114954,"Non-staff costs include project management and development costs, costs of converging 3 websites into the UKTI website  and front end transactional services eg event registration and business opportunities workflow.  Non-staff costs also include maintenance of the London Press Service website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DCMS,www.sportengland.org,Sport England,60513,72123,89938,51705,47043,66902,80571,86313,61697,87977,88812,109259,902853,90101,105600,59779,80389,76288,101702,122638,136228,96426,135884,131606,109258,"To comply with the marketing freeze we have not spent any money developing the Sport England website over the last 24 months. The site was launched four years ago. To ensure compliance would mean a complete site refresh - this is something we can plan into our business cycle but the costs and staff time involved mean it is not something we can do easily.  The design costs reflect changes to the home page and our London 2012 news pages to better promote the legacy element of the games. While the hosting costs include £900 per month maintainance as, due to the recruitment freeze, we no longer have this capability in-house.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.bis.gov.uk/britishhallmarkingcouncil,BIS - British Hallmarking Council,34969,14579,14784,14002,15497,8013,10296,82113,26734,79526,80680,83229,464422,40115,19090,19131,18599,20643,11631,13537,94666,31564,94929,98073,104396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,UKSA,www.neighbourhood.statistics.gov.uk,Office for National Statistics,50747,53604,48299,42053,40854,48950,54571,59254,40972,55377,57165,68763,620609,78613,82114,75049,66144,65605,74191,86174,96093,66171,89240,88834,102477,"Re URL redirection, custom 404 message generated provides NESS contact details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.hefce.ac.uk,TheÊHigher Education Funding Council for England,43219,45930,50087,53052,56838,53230,60733,61737,41749,57642,61572,63323,649112,64796,68442,77662,84365,89398,86354,99665,100669,64019,93703,94244,98812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DWP,www.cmoptions.org,Child Maintenance Options,24671,28675,29280,29583,30328,52225,64168,58521,43968,72505,23369,60222,517515,49751,55565,55000,56918,56777,93059,113098,95597,73564,118148,97443,97787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.epsrc.ac.uk,Engineering and Physical Sciences Research Council,30726,35674,35174,49432,36470,39474,40188,42037,33234,43442,47986,49601,483438,55551,65043,65206,87856,69907,73129,74040,80106,60654,81815,93331,95888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DH,www.gscc.org.uk,General Social Care Council,47636,58469,54489,46532,45221,53758,54976,56916,42983,63158,59627,62251,646016,70753,85499,79606,70209,68440,77431,80234,81606,60264,90105,84233,87230,The GSCC is an arms length body that is due to close on the 31st July 2012. With this in mind we have been restricted on all our communications spend and as such have not been able to conduct any annual online user survey for this reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DWP,www.thepensionsregulator.gov.uk ,The Pensions regulator,21020,25781,28977,30672,36572,39182,42214,38512,30145,43401,50506,51866,438848,35495,44265,50615,51858,60848,63320,69015,64248,48785,80241,89000,86486,BAU spend = £104k includes running costs and £50k investment in web infrastructure to improve design and navigation to ensure operational readiness for 1.3 million audience as part of pensions reform. ECR spend = £275k includes delivery and testing of key content projects (interactive tools and guidance) and a proportion of attributable costs for infrastructure investment . ECR costings also include project staff costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.stfc.ac.uk,Science and Technology Facilities Council,38914,43349,44917,44147,41683,50758,56051,54310,43455,56286,56910,54821,585601,52451,57884,61289,58714,55973,68035,74248,73041,58179,76587,77383,75550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,CO,www.data.gov.uk,Data.gov,52819,41239,54115,41782,42479,44562,52130,51664,44889,52209,54161,62402,594451,64556,52480,69612,52896,53447,54634,65270,63825,53825,63092,65267,74357,"The site is a catalogue of government data, driven by a cataloguing server with over 8997 records, hence impossible to provide users with a site map, as 90% of the content of the site is inside the catalogue.  The site uses standard CSS implementation but also has browser specific CSS to address the use of IE6 and other javascript limitations in many government websites, this is so departments can access the catalogue publishing tools as well as the complex GIS publication process for geographical record entries.  Hence, the test provided is far too simple for the technical configurations in the site. data.gov.uk has in-page commenting, which is the method by which we receive continuous improvement feedback.  The current refresh of data.gov.uk to be launched in June has been configured to address the key issues our users higlighted thorugout the site.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DCLG,www.lease-advice.org,Lease Advise,31086,37255,37492,37084,40923,42594,38995,39085,29508,47891,49215,51289,482417,44268,52686,53746,53366,57613,59656,57236,58117,42509,69190,70767,73802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DCLG,www.homesandcommunities.co.uk,Communities and Local Government,41465,22808,44110,45411,36310,39068,44292,48739,34402,51365,49494,49418,506882,63091,64552,65004,69270,51339,54573,64387,71533,49368,76311,73113,73552,"Unique users for May 2011 are for period 17 May - 31 May only. Total unique users are for the period 17 May 2011 to 31 March 2012Staff resource is split between the HCA corporate website, intranet and other digital projects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DCMS,www.visitengland.org,Visit England,11241,14189,13557,12541,13296,13715,16261,18416,13442,19945,24651,33283,204537,21344,26486,28226,27089,29117,28855,34087,46292,34514,42955,57142,72247,"URL redirection : ISAPI is installedService availability : 98.5% availability, only goes down for scheduled maintenance, in such cases website is redirected to maintenance pageCSS compliant : yes, but some errors result from work arounds implemented for IE 6.0 compatibilityNB www.visitengland.org has been developed on behalf of the tourism industry as a portal providing a range of services including national research; business development tools and marketing opportunities and information.  The site also includes the consumer facing media centre.  Content will be developed in line with recommendations of a recent stakeholder survey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.mrc.ac.uk,Medical Research Council,19913,42066,41226,41356,39169,45515,41610,46945,41448,50845,47103,48320,505516,29687,62924,61507,61780,60833,70264,59717,68238,58609,77033,68491,70104,The survey did not receive sufficient responses to make it statistically relevant - despite significant publicity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DWP,www.remploy.co.uk,Remploy,16505,20076,21220,20775,22004,20239,21202,21001,22829,30896,30797,53054,300598,19202,23642,24802,24799,25770,24027,25250,25525,18481,41769,42198,68686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.bbsrc.ac.uk,Bioscience Research,45028,48900,44042,39283,37677,35967,38081,40135,31920,44082,45063,45202,495380,64426,65353,57979,51452,49887,50443,52767,57310,45035,64009,63929,64550,"Coding standards: The points of failure are the vendor specific prefixes these are to ensure browser compatibility. We are using the latest techniques that have not yet been finalised in the W3C specification. Non-staff costs: Excluding VAT. Excludes IT costs as these are reported through a different stream. £2570 under testing is ABCe audit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DEFRA,www.jncc.defra.gov.uk/,Joint Nature Conservation Committee,13916,19317,31364,27041,27063,27093,31756,35300,25903,30996,33231,37336,271548,21521,30964,51138,43457,43760,43170,53983,61345,43364,51790,57179,63094,"Costs attributed to this site have increased as other URLs were 'rationalised' onto this domain, because the other sites shared a common CMS and webserver.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DEFRA,www.marinemanagement.org.uk,Marin Management,11674,89538,12720,12805,12493,13508,14034,14050,11692,15280,14934,15305,238033,87900,89538,87356,91234,87882,92842,90936,60423,54379,60683,58784,60450,The staff costs includes work on converging content to Business Link. Hosting and infrastructure costs are part of our IBM contract and cannot be separated out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DFID,www.dfid.gov.uk/cscuk,Commonwealth Scholarship Commission in the UK,23552,21036,19412,44667,43456,45916,47137,57306,47743,44329,40204,39583,474341,35345,31473,26103,58010,60842,70002,73244,93913,72108,63392,57529,59039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DECC,www.nda.gov.uk,Nuclear Decommissioning AuthorityÊ,13205,14417,14221,13846,15547,18762,16937,15406,10347,15635,16236,16716,181275,56211,63099,57489,67388,71479,81852,83853,79816,55401,63419,61021,58031,Includes design and build of revised UK Waste Inventory 2010: www.nda.gov.uk/ukinventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.veterans-uk.info,Veterans UK,36217,39770,43928,37843,42072,44184,45794,70403,38129,50498,47115,44265,540218,43950,48771,53570,46028,50097,52448,54618,82559,44743,60632,56739,53785,Accessibility cannot be met without full site re-write.  We have decided not to invest in this until we know if the site will remain as a distinct domain name ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.ahrc.ac.uk,The Arts and Humanities Research Council,25373,25943,26214,23634,22844,26957,32571,36806,23564,31539,36506,31723,343674,36623,37843,38722,33917,32785,38834,48769,56160,33196,44963,52313,45085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,CO,www.fundingcentral.org.uk,Funding Central,16481,18292,20280,19398,21680,22926,24909,26241,17692,28829,29343,27948,274019,29730,34194,38172,36370,38227,37022,40301,42664,17692,28829,47106,44855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,UKSA,www.nomisweb.co.uk/,UK Statistics Authority,18501,16401,16600,16168,15320,16816,18886,20035,15313,19111,18723,20405,212279,40731,37015,38809,39190,38984,40134,43107,45213,34223,43701,41152,42305,Data are for 10/11. Figures for 11/12 unavailable. Visit figures reflect visits to at least 2 pages. Total costs represent value of the cotract with the Uni of Durham.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.da.mod.uk,Defence Academy of the United Kingdom,19019,21581,19724,18150,18363,19378,19988,21217,17490,19858,18336,18642,231746,49848,56835,49498,46995,42859,39641,45273,48871,41451,46842,43930,42189,Non-staff costs are delivered as part of a site-wide facilities management contract (including IT provision) through Serco.  Staff costs relate to contract staff provided by Serco.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.nerc.ac.uk,Natural Environment Research Council,33971,41863,42494,34020,36611,40416,45651,46168,31955,46025,41447,29769,470390,33971,41863,42494,34020,36611,40416,45651,46168,31955,46025,41447,41922,"8.d) Although we don't specifically test on disabled users we do have disabled users that use our site who will occasionally feedback on any issues they are having.9) The low service availability is caused by a regular scheduled 3 hour database maintenance period from 11pm Saturday.  This has been resolved in March so availability is running at 99.8% now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.theia.org.uk/,The information authority,7798,6420,7435,7809,7663,7145,7523,7523,6207,6449,6499,7410,85881,39582,31135,44225,42519,45663,44855,42923,44587,35260,37643,37032,41851,"Note, the quality questions refer to the survey run from April 11 - April 12, which obtained 32 reponses only. Unfortunately the individual cost for hosting and maintenance cannot be extracted from our overall CONNECT agreement with Cap Gemini.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,OFWAT,www.ofwat.gov.uk,Ofwat,15157,16643,18209,17855,17140,17508,21134,20143,15346,22449,23470,26342,231396,25526,27814,31557,28589,28642,28114,34195,34380,25760,35567,35646,39092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DH,www.monitor-nhsft.gov.uk/,Monitor,15267,16353,15031,14429,16125,18757,21869,21364,16287,21549,23525,23747,224303,27661,28345,24868,24894,26618,29569,35511,34781,26498,36746,38271,38978,"The  'visit satisfaction rating' percentages were collected from our 2011 NHS stakeholder perception survey (using free-of-charge tool SurveyMonkey). We don't currently measure 'Ratings' or 'Purpose of visit achieved' metrics. In order to meet Cabinet Office communications spending restrictions, we would need to submit a business case to the Department of Health if we decide to carry out a detailed audit of our website.MonitorÕs website is managed entirely in-house, apart from server hosting and minor technical support. The majority of staff resource on the website is on content provision in the form of text only which is not available elsewhere. We no longer design or print our publications, or distribute them by post (with an annual saving of approximately £125,000), and publish all materials (documents, briefings, newsletters, etc) as html or PDF content on our website. Consequently our website is used as the main channel to reach healthcare providers, stakeholders and the wider public.Staff resource costs are made up of (FTE):Grade 6 or equivalent:  0.05 Strategy development Grade 7 or equivalent: 0.10 Strategy development, ongoing site management and content provisionHEO/IO or equivalent: 0.05  Content provision, building website components and supplier management related to monthly technical support costsEO/AIO or equivalent: 0.65  Content provision, search engine optimisation, web analytics and ongoing reports and evaluations, supplier management related to monthly technical support and bug fixes, compliance with government web standards, building website components and accessibility work.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.investorsinpeople.co.uk,Investors in people,18409,22513,20680,17777,17107,20157,24903,28166,17109,26039,27228,27066,267154,23301,28420,26253,22519,22716,25707,31836,36205,22545,34437,35183,34733,No user survey was undertaken in 2001/12 due to staff and resource constraints.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,AG,www.sfo.gov.uk,Serious Fraud Office,17405,18022,19967,19075,14701,17404,19258,20715,15002,22003,20301,25609,229462,23788,24622,27230,27303,20697,24533,27122,29110,20606,31633,28340,34088,We were unable to implement a suitable quality measures survey in time for the collection form deadline due to staff changes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.learningrecordsservice.org.uk/,Learning Record Service,4405,4616,5340,5664,4853,6636,6823,6453,4478,5625,5763,6852,67508,19263,21803,29802,29959,27274,35646,35985,37075,24482,33275,31232,33840,"Please note, visitors may not be unique and total number above is the autosum of the monthly figures. Responses to the quality questions are based on responses from 89 respondents to the survey only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DH,www.hpacultures.org.uk,Health Protection Agency Culture Collections,6712,6963,6567,6962,8419,11773,13691,13943,11175,13473,15175,16035,130888,13696,14921,14002,14691,18003,23597,27375,29427,23858,29274,30966,33326,"The HPA Culture Collections website is B2B - i.e. targetted at medical research scientists and food, water and environmental testing laboratories.  The website acts as the main marketing tool for products and services supplied by the HPA Culture Collections, a srtategic business unit generating an income of £4.5M per annum.  The website includes e-commerce functionality and search and browse functions tailored for the specialised products (biological cultures).  There are ~10,000 product listings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
