"title","description","organisation_political","organisation_type","organisation_featuring_priority","potential_service","potential_service_link"
"Military Aviation Authority","The Military Aviation Authority is responsible for the regulation, assurance and enforcement of the defence air operating and technical domains. MAA is part of the Ministry of Defence and the Defence Safety Authority .",FALSE,"sub_organisation","news","Training","https://www.gov.uk/government/collections/military-aviation-authority-training-courses"
"Defence Sixth Form College","Welbeck Defence Sixth Form College (DSFC) offers a unique programme of personal, physical and intellectual development, which provides its students with an education designed to meet the needs of today’s modern technical Armed Forces. DSFC is part of the Ministry of Defence .",FALSE,"sub_organisation","news","no_featured_links",NA
"Defence and Security Accelerator","The Defence and Security Accelerator (DASA) finds and funds exploitable innovation for a safer future. DASA is part of the Ministry of Defence .",FALSE,"sub_organisation","service","Login/Register for an account","https://www.gov.uk/government/collections/defence-and-security-accelerator-submit-your-research-proposal"
"Defence and Security Accelerator","The Defence and Security Accelerator (DASA) finds and funds exploitable innovation for a safer future. DASA is part of the Ministry of Defence .",FALSE,"sub_organisation","service","Ideas Marketplace ","https://community.dasa.service.mod.uk/ideasmarketplace"
"Defence and Security Accelerator","The Defence and Security Accelerator (DASA) finds and funds exploitable innovation for a safer future. DASA is part of the Ministry of Defence .",FALSE,"sub_organisation","service","Apply for Funding","https://www.gov.uk/government/collections/apply-for-funding"
"Defence and Security Accelerator","The Defence and Security Accelerator (DASA) finds and funds exploitable innovation for a safer future. DASA is part of the Ministry of Defence .",FALSE,"sub_organisation","service","Market Exploration ","https://www.gov.uk/government/collections/market-exploration"
"Defence and Security Accelerator","The Defence and Security Accelerator (DASA) finds and funds exploitable innovation for a safer future. DASA is part of the Ministry of Defence .",FALSE,"sub_organisation","service","Defence Technology Exploitation Programme (DTEP)","https://www.gov.uk/government/publications/the-defence-technology-exploitation-programme"
"Defence and Security Accelerator","The Defence and Security Accelerator (DASA) finds and funds exploitable innovation for a safer future. DASA is part of the Ministry of Defence .",FALSE,"sub_organisation","service","Innovation Case Studies","https://www.gov.uk/government/collections/innovation-case-studies"
"Defence and Security Accelerator","The Defence and Security Accelerator (DASA) finds and funds exploitable innovation for a safer future. DASA is part of the Ministry of Defence .",FALSE,"sub_organisation","service","Get in touch with DASA","https://www.gov.uk/guidance/contact-a-dasa-innovation-partner"
"Digital, Data and Technology Profession","We help all departments across government attract, develop and retain the people and skills they need to achieve government transformation. Digital, Data and Technology Profession is part of the Civil Service .",FALSE,"sub_organisation","service","Digital, Data and Technology Profession Capability Framework","https://www.gov.uk/government/collections/digital-data-and-technology-profession-capability-framework"
"Digital, Data and Technology Profession","We help all departments across government attract, develop and retain the people and skills they need to achieve government transformation. Digital, Data and Technology Profession is part of the Civil Service .",FALSE,"sub_organisation","service","GDS Academy","https://gdsacademy.campaign.gov.uk/"
"Digital, Data and Technology Profession","We help all departments across government attract, develop and retain the people and skills they need to achieve government transformation. Digital, Data and Technology Profession is part of the Civil Service .",FALSE,"sub_organisation","service","Fast Stream graduate scheme in Digital, Data and Technology","https://www.faststream.gov.uk/digital-data-technology/"
"Digital, Data and Technology Profession","We help all departments across government attract, develop and retain the people and skills they need to achieve government transformation. Digital, Data and Technology Profession is part of the Civil Service .",FALSE,"sub_organisation","service","Government Transformation Strategy 2017 to 2020","https://www.gov.uk/government/publications/government-transformation-strategy-2017-to-2020"
"Equality Hub","We focus on disability policy, ethnic disparities, gender equality, LGBT rights and the overall framework of equality legislation for the UK. Equality Hub works with the Cabinet Office , the Government Equalities Office , the Social Mobility Commission , the Race Disparity Unit , and the Disability Unit .",FALSE,"other","news","no_featured_links",NA
"District Valuer Services (DVS)","District Valuer Services (DVS) is the specialist property arm of the Valuation Office Agency (VOA). We provide independent, impartial, valuation and professional property advice across the entire public sector, and where public money or public functions are involved. DVS is part of the Valuation Office Agency .",FALSE,"sub_organisation","news","no_featured_links",NA
"Employment Agency Standards Inspectorate","We protect the rights of agency workers by ensuring that employment agencies and businesses treat their workers fairly. EAS is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","Your rights as an agency worker","https://www.gov.uk/agency-workers-your-rights"
"Employment Agency Standards Inspectorate","We protect the rights of agency workers by ensuring that employment agencies and businesses treat their workers fairly. EAS is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","Complain about an employment agency","https://www.gov.uk/government/publications/pay-and-work-rights-complaints"
"Employment Agency Standards Inspectorate","We protect the rights of agency workers by ensuring that employment agencies and businesses treat their workers fairly. EAS is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","Find people banned from running an employment agency or business","https://www.gov.uk/government/publications/list-of-people-banned-from-running-an-employment-agency-or-business/employment-agency-standards-inspectorates-eas-people-prohibited-from-running-an-employment-agency-or-business"
"Employment Agency Standards Inspectorate","We protect the rights of agency workers by ensuring that employment agencies and businesses treat their workers fairly. EAS is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","Running an employment agency or employment business","https://www.gov.uk/employment-agencies-and-businesses"
"Employment Agency Standards Inspectorate","We protect the rights of agency workers by ensuring that employment agencies and businesses treat their workers fairly. EAS is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","Record keeping for employment agencies and businesses","https://www.gov.uk/record-keeping-for-employment-agencies-and-businesses"
"Employment Agency Standards Inspectorate","We protect the rights of agency workers by ensuring that employment agencies and businesses treat their workers fairly. EAS is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","Charge fees as an entertainment and modelling agency","https://www.gov.uk/entertainment-and-modelling-agencies"
"Employment Agency Standards Inspectorate","We protect the rights of agency workers by ensuring that employment agencies and businesses treat their workers fairly. EAS is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","Find out about your holiday entitlement","https://www.gov.uk/holiday-entitlement-rights/holiday-pay-the-basics"
"Employment Agency Standards Inspectorate","We protect the rights of agency workers by ensuring that employment agencies and businesses treat their workers fairly. EAS is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","Help and advice for workers and employers on rights and obligations at work","https://www.gov.uk/pay-and-work-rights"
"Employment Agency Standards Inspectorate","We protect the rights of agency workers by ensuring that employment agencies and businesses treat their workers fairly. EAS is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","What the government is doing about labour market reform","https://www.gov.uk/employment/labour-market-reform"
"Export Control Joint Unit","The Export Control Joint Unit (ECJU) administers the UK’s system of export controls and licensing for military and dual-use items. ECJU is part of the Department for International Trade .",FALSE,"sub_organisation","service","Apply for an export licence on SPIRE","https://www.gov.uk/government/publications/spire-online-export-licensing-guidance/using-spire-to-get-an-export-licence"
"Export Control Joint Unit","The Export Control Joint Unit (ECJU) administers the UK’s system of export controls and licensing for military and dual-use items. ECJU is part of the Department for International Trade .",FALSE,"sub_organisation","service","Check if you need an export licence","https://www.ecochecker.trade.gov.uk/spirefox5live/fox/spire/OGEL_GOODS_CHECKER_LANDING_PAGE/new"
"Export Control Joint Unit","The Export Control Joint Unit (ECJU) administers the UK’s system of export controls and licensing for military and dual-use items. ECJU is part of the Department for International Trade .",FALSE,"sub_organisation","service","Check if you can use an Open General Export Licence","https://www.ecochecker.trade.gov.uk/spirefox5live/fox/spire/OGEL_GOODS_CHECKER_LANDING_PAGE/new"
"Export Control Joint Unit","The Export Control Joint Unit (ECJU) administers the UK’s system of export controls and licensing for military and dual-use items. ECJU is part of the Department for International Trade .",FALSE,"sub_organisation","service","Find an Open General Export Licence","https://www.gov.uk/government/collections/open-general-export-licences-ogels"
"Export Control Joint Unit","The Export Control Joint Unit (ECJU) administers the UK’s system of export controls and licensing for military and dual-use items. ECJU is part of the Department for International Trade .",FALSE,"sub_organisation","service","Find training for exporters","https://www.gov.uk/government/publications/export-control-training-bulletin"
"Export Control Joint Unit","The Export Control Joint Unit (ECJU) administers the UK’s system of export controls and licensing for military and dual-use items. ECJU is part of the Department for International Trade .",FALSE,"sub_organisation","service","Export controls: military goods, software and technology","https://www.gov.uk/guidance/export-controls-military-goods-software-and-technology"
"Export Control Joint Unit","The Export Control Joint Unit (ECJU) administers the UK’s system of export controls and licensing for military and dual-use items. ECJU is part of the Department for International Trade .",FALSE,"sub_organisation","service","Export controls: dual-use items, software and technology, goods for torture and radioactive sources ","https://www.gov.uk/guidance/export-controls-dual-use-items-software-and-technology-goods-for-torture-and-radioactive-sources"
"Fleet Air Arm Museum ","The Fleet Air Arm Museum, the world’s second largest naval aviation museum, has 4 exhibition halls, over 90 aircraft and over 2 million records and 30,000 artefacts. Fleet Air Arm Museum is part of the Ministry of Defence .",FALSE,"sub_organisation","news","no_featured_links",NA
"Flood and Coastal Erosion Risk Management Research and Development Programme","We’re a collaborative research and development programme. We use academic led research to provide flood risk professionals with information to manage flood risk. FCERM R&D Programme is part of the Environment Agency , the Department for Environment, Food & Rural Affairs , the Welsh Government , and the Natural Resources Wales .",FALSE,"sub_organisation","news","Working with us","https://www.gov.uk/guidance/working-with-flood-and-coastal-erosion-risk-management"
"Further Education Commissioner","We work with further education (FE) colleges to improve their quality and financial resilience. Further Education Commissioner is part of the Department for Education .",FALSE,"sub_organisation","news","College oversight: support and intervention","https://www.gov.uk/government/publications/college-oversight-support-and-intervention"
"Further Education Commissioner","We work with further education (FE) colleges to improve their quality and financial resilience. Further Education Commissioner is part of the Department for Education .",FALSE,"sub_organisation","news","FE Commissioner visits and reports","https://www.gov.uk/government/publications/fe-commissioner-visits-and-reports"
"Government Geography Profession","The Government Geography Profession was established in 2018 to support geographical expertise across the public sector. Government Geography Profession is part of the Civil Service and the Geospatial Commission .",FALSE,"sub_organisation","news","no_featured_links",NA
"Gov Facility Services Limited","Gov Facility Services Limited (GFSL) provides facility maintenance services to prisons across the South of England. GFSL is part of the Ministry of Justice .",FALSE,"sub_organisation","news","no_featured_links",NA
"Government Analysis Function","The Government Analysis Function is a cross-government network of around 17,000 people involved in the generation and dissemination of analysis. Government Analysis Function is part of the Civil Service .",FALSE,"sub_organisation","news","no_featured_links",NA
"Government Chemist","We resolve scientific disputes mainly in the food and feed sectors, give advice to regulators and industry, and carry out research. Government Chemist is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","news","Submit a referee sample to the Government Chemist","https://www.gov.uk/submit-a-referee-sample-to-the-government-chemist"
"Government Chemist","We resolve scientific disputes mainly in the food and feed sectors, give advice to regulators and industry, and carry out research. Government Chemist is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","news","Submit a second expert opinion sample","https://www.gov.uk/submit-a-supplementary-expert-opinion-sample"
"Government Chemist","We resolve scientific disputes mainly in the food and feed sectors, give advice to regulators and industry, and carry out research. Government Chemist is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","news","Knowledge resources","https://www.gov.uk/government/collections/knowledge-resources"
"Government Commercial Function","The Government Commercial Function is a cross-government network procuring or supporting the procurement of goods and services for the government. GCF is part of the Civil Service and the Cabinet Office .",FALSE,"sub_organisation","news","no_featured_links",NA
"Government Communication Service","We support all professional communicators across government to gain the skills and knowledge they need to carry out their roles. GCS is part of the Civil Service .",FALSE,"sub_organisation","news","Guidance","https://gcs.civilservice.gov.uk/guidance/"
"Government Communication Service","We support all professional communicators across government to gain the skills and knowledge they need to carry out their roles. GCS is part of the Civil Service .",FALSE,"sub_organisation","news","Professional development","https://gcs.civilservice.gov.uk/professional-development/"
"Government Communication Service","We support all professional communicators across government to gain the skills and knowledge they need to carry out their roles. GCS is part of the Civil Service .",FALSE,"sub_organisation","news","Recruitment","https://gcs.civilservice.gov.uk/recruitment/"
"Government Communication Service","We support all professional communicators across government to gain the skills and knowledge they need to carry out their roles. GCS is part of the Civil Service .",FALSE,"sub_organisation","news","Join GCS","https://gcs.civilservice.gov.uk/join-gcs/"
"Government Corporate Finance Profession","The Government Corporate Finance Profession (GCFP) brings together those working in corporate finance from across government to share learning and experience. GCFP is part of the UK Government Investments .",FALSE,"sub_organisation","news","no_featured_links",NA
"Government Data Quality Hub","We work across government and beyond to make data better. DQHub is part of the Office for National Statistics .",FALSE,"sub_organisation","news","no_featured_links",NA
"Government Digital Service","We build platforms, products and services that help create a simple, joined-up and personalised experience of government for everyone. GDS is part of the Cabinet Office .",FALSE,"sub_organisation","service","Service Toolkit","https://www.gov.uk/service-toolkit"
"Government Digital Service","We build platforms, products and services that help create a simple, joined-up and personalised experience of government for everyone. GDS is part of the Cabinet Office .",FALSE,"sub_organisation","service","GOV.UK Design System","https://design-system.service.gov.uk"
"Government Digital Service","We build platforms, products and services that help create a simple, joined-up and personalised experience of government for everyone. GDS is part of the Cabinet Office .",FALSE,"sub_organisation","service","GDS Advisory","https://www.gov.uk/guidance/gds-advisory-get-help-with-public-sector-digital-transformation"
"Government Digital Service","We build platforms, products and services that help create a simple, joined-up and personalised experience of government for everyone. GDS is part of the Cabinet Office .",FALSE,"sub_organisation","service","Digital Service Platforms","https://gds.blog.gov.uk/category/digital-service-platforms/"
"Government Digital Service","We build platforms, products and services that help create a simple, joined-up and personalised experience of government for everyone. GDS is part of the Cabinet Office .",FALSE,"sub_organisation","service","GOV.UK proposition","https://www.gov.uk/government/publications/govuk-proposition"
"Government Economic Service","Supporting economists in the Civil Service. GES is part of the Civil Service .",FALSE,"sub_organisation","news","no_featured_links",NA
"Government Finance Function","The Government Finance Function exists to enable the delivery of high quality public services and to ensure that public money is spent efficiently and effectively. GFF is part of the Civil Service and HM Treasury .",FALSE,"sub_organisation","news","About us","https://www.gov.uk/government/organisations/government-finance-function/about"
"Government Finance Function","The Government Finance Function exists to enable the delivery of high quality public services and to ensure that public money is spent efficiently and effectively. GFF is part of the Civil Service and HM Treasury .",FALSE,"sub_organisation","news","Diversity, Inclusion and Wellbeing Strategy","https://www.gov.uk/government/publications/diversity-inclusion-and-wellbeing-strategy"
"Government Finance Function","The Government Finance Function exists to enable the delivery of high quality public services and to ensure that public money is spent efficiently and effectively. GFF is part of the Civil Service and HM Treasury .",FALSE,"sub_organisation","news","Government Finance Academy","https://www.gov.uk/guidance/government-finance-academy"
"Government Finance Function","The Government Finance Function exists to enable the delivery of high quality public services and to ensure that public money is spent efficiently and effectively. GFF is part of the Civil Service and HM Treasury .",FALSE,"sub_organisation","news","The Finance Career Framework","https://gff.civilservice.gov.uk/the-career-framework"
"Government Finance Function","The Government Finance Function exists to enable the delivery of high quality public services and to ensure that public money is spent efficiently and effectively. GFF is part of the Civil Service and HM Treasury .",FALSE,"sub_organisation","news","OneFinance","https://gff.civilservice.gov.uk/"
"Government Knowledge & Information Management Profession","We support qualified civil servants who enable the creation, organisation and exploitation of information and knowledge. Government Knowledge & Information Management Profession is part of the Civil Service .",FALSE,"sub_organisation","news","no_featured_links",NA
"Government Legal Profession","Government lawyers provide legal advice to the government and represent it in court proceedings GLP is part of the Civil Service .",FALSE,"sub_organisation","news","About us","https://www.gov.uk/government/organisations/civil-service-government-legal-profession/about"
"Government Legal Profession","Government lawyers provide legal advice to the government and represent it in court proceedings GLP is part of the Civil Service .",FALSE,"sub_organisation","news","Trainee solicitor and pupil barrister opportunities","https://www.gov.uk/guidance/government-legal-service-gls-legal-trainee-scheme-how-to-apply"
"Government Legal Profession","Government lawyers provide legal advice to the government and represent it in court proceedings GLP is part of the Civil Service .",FALSE,"sub_organisation","news","How to apply for trainee solicitor and pupil barrister posts","https://www.gov.uk/guidance/government-legal-service-gls-legal-trainee-scheme-how-to-apply--2"
"Government Legal Profession","Government lawyers provide legal advice to the government and represent it in court proceedings GLP is part of the Civil Service .",FALSE,"sub_organisation","news","Working as a qualified lawyer","https://www.gov.uk/government/organisations/civil-service-government-legal-profession/about/recruitment"
"Government Legal Profession","Government lawyers provide legal advice to the government and represent it in court proceedings GLP is part of the Civil Service .",FALSE,"sub_organisation","news","Our People - Profiles","https://www.gov.uk/search/news-and-communications?organisations%5B%5D=civil-service-government-legal-profession&parent=civil-service-government-legal-profession"
"Government Occupational Psychology Profession ","Occupational Psychologists work with staff to improve standards and optimise processes, whether these are in the management of people and resources or in policy or operational delivery roles supporting customers and employees. Government Occupational Psychology Profession is part of the Civil Service .",FALSE,"sub_organisation","news","no_featured_links",NA
"Government Office for Technology Transfer","GOTT supports the UK public sector to unlock the potential of its knowledge assets to deliver value to the UK economy and society. Knowledge assets are intangible assets such as research and development, intellectual property (IP), data and know how. GOTT is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","news","Knowledge asset management guidance (Rose Book)","https://www.gov.uk/government/publications/knowledge-asset-management-in-government"
"Government Office for Technology Transfer","GOTT supports the UK public sector to unlock the potential of its knowledge assets to deliver value to the UK economy and society. Knowledge assets are intangible assets such as research and development, intellectual property (IP), data and know how. GOTT is part of the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","news","Access funding","https://www.gov.uk/guidance/get-funding-to-develop-and-exploit-knowledge-assets"
"Government Operational Research Service","We support operational research analysts across government, helping them to contribute to policy-making, strategy and operations. GORS is part of the Civil Service .",FALSE,"sub_organisation","news","no_featured_links",NA
"Government Partnerships International","GPI is part of the Stabilisation Unit .",FALSE,"sub_organisation","news","no_featured_links",NA
"Government Planning Inspectors","Government planning inspectors deal with planning appeals, national infrastructure planning applications, examinations of local plans and other planning-related and specialist casework in England and Wales. Government Planning Inspectors is part of the Civil Service .",FALSE,"sub_organisation","news","no_featured_links",NA
