,Abbr,Organisation,Body,service,Servicetype,URL,Servicedesc,Customertype,Businesmodel,Comments,201212,201212digital,201303,201303digital,201306,201306digital,201309,201309digital,201312,201312digital,201403,201403digital,201406,201406digital,201409,201409digital,201412,201412digital,201503,201503digital,201506,201506digital,201509,201509digital,201512,201512digital,201603,201603digital,201606,201606digital,201609,201609digital,201612,201612digital,201703,201703digital,max_observed
432,Home Office,Home Office,Home Office,Visa applications,Requesting a licence or consent,https://www.gov.uk/ukvisa,Data for applications by foreign nationals for visas to reside in the UK on a temporary or permanent basis.,Individuals,Fees and charges,Includes Visit Family Employment Study Visit Sponsor Accession Settlement Nationality and Euro applications. It also includes withdrawn applications and applications where the applicant has been noncooperative. Nationality applications may include some cases counted under the Applications for naturalisation as a British citizen. Asylum applications are excluded.<br>Transactions per year  total applications for UK destinations only doesn't include channel islands.<br>Digital transactions per year  includes all destinations.,3400000,,3437405,2145606,3326302,2266390,3460795,2474367,3525388,2666330,3567147,2724405,3509611,2758943,3464639,2726632,3432865,2764055,3361639,,3368962,,3420246,1788587,3439561,1782357,,,,,,,,,,,3567147
354,DWP,Department for Work and Pensions,Department for Work and Pensions,Disability Living Allowance (DLA): existing claims,Requesting benefits payments or loans,https://www.gov.uk/dladisabilitylivingallowancebenefit,Data for existing claimants of Disabililty Living Allowance which has been largely replaced by the Personal Independence Payment and is now only to help cover extra costs for a disabled child under 16 (DLA for children).,Individuals,Taxpayers,Maintaining claims involves many interactions with people across the duration of their claim. It includes contacts about changes of circumstances or compliance checks that could affect eligibility and the investigation of potential fraud and error. It also includes the making of payments and queries about nonreceipt.<br>The rolling year number of transactions given is the annual average of the number of cases on the caseload. The most recent quarterly data provided is a snap shot of total volumes of cases on the caseload (data obtained from NOMIS).,3220000,0,3260000,0,3280000,0,3305548,0,3318408,0,3320703,0,3307930,0,3289393,0,3268618,,3245453,0,3215558,,3177268,,3129953,,3077170,,3019448,0,2951583,0,2864453,0,2755910,0,3320703
347,DWP,Department for Work and Pensions,Department for Work and Pensions,Universal Jobmatch: vacancies placed by employers,Providing information,http://jobvacancies.businesslink.gov.uk/IndexDwp.aspx,Data for job adverts put up by registered employers using the Universal Jobmatch online service. ,Business,[not provided],The number of transactions given covers the number of job vacancies entered onto the Universal Jobmatch service by employers. A vacancy relates to a job role and there may be one or more 'openings' related to a vacancy. <br>The total volume includes vacancies notified to UJ's predecessor services which were then entered onto the new service. This type of internal management information does not form part of the official statistics outputs that are released by the Department in accordance with the UK Statistics Authority’s Code of Practice.,,,,,1350000,1180000,2700000,2370000,4490000,4160000,6080000,5810000,7056000,6926000,8001595,8001595,,,,,,,,,,,,,,,,,,,,,8001595
357,DWP,Department for Work and Pensions,Department for Work and Pensions,Employment and Support Allowance (ESA): existing claims,Requesting benefits payments or loans,https://www.gov.uk/employmentsupportallowance/eligibility,Data for existing claimants of Employment and Support Allowance the main benefit for people who are sick or disabled. ESA is replacing Incapacity Benefit Income Support and Severe Disablement Allowance.,Individuals,Taxpayers,Maintaining claims involves many interactions with people across the duration of their claim. It includes contacts about changes of circumstances or compliance checks that could affect eligibility and the investigation of potential fraud and error. It also includes the making of payments and queries about nonreceipt.<br>The rolling year number of transactions given is the annual average of the number of cases on the caseload. The most recent quarterly data provided is a snap shot of total volumes of cases on the caseload (data obtained from NOMIS).,2550000,0,2510000,0,2500000,0,2487483,0,2490738,0,2490333,0,2485578,0,2488463,0,2504788,,2520313,0,2538263,,2550413,,2550775,,2544815,,2532338,0,2519360,0,2507540,0,2495545,0,2550775
363,DWP,Department for Work and Pensions,Department for Work and Pensions,Pension Credit: existing claims,Requesting benefits payments or loans,https://www.gov.uk/pensioncredit,Data for existing claimants of Pension Credit an incomerelated benefit paid to people of State Pension age.,Individuals,Taxpayers,Maintaining claims involves many interactions with people across the duration of their claim. It includes contacts about changes of circumstances or compliance checks that could affect eligibility and the investigation of potential fraud and error. It also includes the making of payments and queries about nonreceipt.<br>The rolling year number of transactions given is the annual average of the number of cases on the caseload. The most recent quarterly data provided is a snap shot of total volumes of cases on the caseload (data obtained from NOMIS).,2650000,0,2550000,0,2510000,0,2474405,0,2442220,0,2409913,0,2378855,0,2342968,0,2306025,,2268115,0,2227708,,2184333,,2140663,,2096693,,2054868,0,2017803,0,1980423,0,1942430,0,2650000
214,DfE,Department for Education,Education and Skills Funding Agency,Learning Record Service: unique learner numbers (ULNs) created,Providing information,https://www.gov.uk/government/publications/lrsuniquelearnernumbers,Data for unique learner numbers (ULNs) created including single and multiple (batch) which register learners over 14 with the Learning Record Service. ,Business,Taxpayers,,540000,,1563900,,,,2350765,2350765,2291687,2291687,2238109,2238109,1922214,1922214,1937381,1937381,1664357,1664357,1496517,1496517,1480655,1480655,1088601,1088601,882784,882784,1038593,1038593,841903,841903,840578,840578,854998,854998,,,2350765
311,DHSC,Department of Health and Social Care,NHS Blood and Transplant,Blood donation appointments,Booking events and resources,http://www.blood.co.uk/,Data for appointments cancelled appointments and reappointments made online or by phone for sessions to give blood.,Individuals,Taxpayers,The website for the service was updated at the end of 2013 resulting in significant reduction in calls to make or cancel appointments. This in turn has resulted in a fall in cost per transaction.,,,,,,,1749761,,1771888,,1781457,,1811620,,1801761,,1840836,,1899572,780628,1991180,887971,2087987,986400,2150790,1070200,2249322,1170712,2359123,1309117,2445871,1418332,2546131,,2656288,,2656288
349,DWP,Department for Work and Pensions,Department for Work and Pensions,Attendance Allowance: existing claims,Requesting benefits payments or loans,https://www.gov.uk/attendanceallowance,Data for contacts with existing claimants of Attendance Allowance a payment for people aged 65 or over who need help with personal care because they are physically or mentally disabled.,Individuals,Taxpayers,Maintaining claims involves many interactions with people across the duration of their claim. It includes contacts about changes of circumstances or compliance checks that could affect eligibility and the investigation of potential fraud and error. It also includes the making of payments and queries about nonreceipt.<br>The rolling year number of transactions given is the annual average of the number of cases on the caseload. The most recent quarterly data provided is a snap shot of total volumes of cases on the caseload (data obtained from StatXplore).,1740000,0,1710000,0,1700000,0,1686670,0,1671425,0,1656293,0,1641968,0,1632435,0,1625960,,1622250,0,1616823,,1611795,,1607275,,1603298,,1602573,0,1601673,0,1600418,0,1598331,0,1740000
361,DWP,Department for Work and Pensions,Department for Work and Pensions,Jobseeker's Allowance: existing claims,Requesting benefits payments or loans,https://www.gov.uk/jobseekersallowance,Data for existing claimants of Jobseeker's Allowance the main benefit for people who are out of work and seeking employment.,Individuals,Taxpayers,Maintaining claims involves many interactions with people across the duration of their claim. It includes contacts about changes of circumstances or compliance checks that could affect eligibility and the investigation of potential fraud and error. It also includes the making of payments and queries about nonreceipt.<br>The rolling year number of transactions given is the annual average of the number of cases on the caseload. The most recent quarterly data provided is a snap shot of total volumes of cases on the caseload (data obtained from NOMIS).,1500000,0,1490000,0,1470000,0,1443998,0,1394630,0,1320325,0,1228140,0,1128650,0,1027758,,935010,0,845008,,772398,,716310,,671130,,625185,0,588455,0,554115,0,523988,0,1500000
224,DfE,Department for Education,Education and Skills Funding Agency,Apprenticeships: applications,Providing information,https://www.gov.uk/applyapprenticeship,Data for applications submitted to employers using the national online recruitment system for apprenticeships in England.,Individuals,Taxpayers,,1136640,1136640,1190925,1190925,1274260,1274260,1380179,1380179,1475490,1475490,1613280,1613280,1758010,1758010,1801580,1801580,1824650,1824650,1730668,1730668,1661331,1661331,1598646,1598646,1577395,1577395,1539118,1539118,1548793,1548793,1559838,1559838,1633731,1633731,,,1824650
362,DWP,Department for Work and Pensions,Department for Work and Pensions,State Pension: existing overseas claims,Requesting benefits payments or loans,https://www.gov.uk/statepensionifyouretireabroad,Data for claims for State Pension from people living abroad.,Individuals,Taxpayers,The number of transactions per quarter is no longer available.,1210000,0,1220000,0,1230000,0,1230000,0,1230000,0,1240000,0,1237500,0,,0,,,,0,,,,,,,,,,0,,0,,0,,0,1240000
448,MoJ,Ministry of Justice,Legal Aid Agency,Legal aid in criminal cases: acts of assistance for lower claims,Requesting benefits payments or loans,,Data for applications for legal aid by people accused of a lower case criminal offence (police station magistrates courts and prison law claims).,Individuals,Taxpayers,,,,,,,,1227728,,1214451,,1209681,,1202093,1184653,1187214,1170685,1170678,1153905,1150657,1134982,1129409,1114004,1108028,1093507,1077925,,1058362,,1033722,,1019246,,1007943,,991836,,1227728
358,DWP,Department for Work and Pensions,Department for Work and Pensions,Income Support: existing claims,Requesting benefits payments or loans,https://www.gov.uk/incomesupport/overview,Data for existing claimants of Income Support which is paid to people on a low income who are working less than 16 hours a week haven’t signed on as unemployed or are a lone parent or carer.,Individuals,Taxpayers,Maintaining claims involves many interactions with people across the duration of their claim. It includes contacts about changes of circumstances or compliance checks that could affect eligibility and the investigation of potential fraud and error. It also includes the making of payments and queries about nonreceipt.<br>The rolling year number of transactions given is the annual average of the number of cases on the caseload. The most recent quarterly data provided is a snap shot of total volumes of cases on the caseload (data obtained from NOMIS).,1610000,0,1350000,0,1250000,0,1151975,0,1066673,0,998603,0,939208,0,893943,0,857868,,826990,0,799343,,772838,,748268,,725600,,705830,0,688533,0,672190,0,655155,0,1610000
450,MoJ,Ministry of Justice,HM Courts & Tribunals Service,Money claims ,Providing information,https://www.gov.uk/makemoneyclaimonline,Data for money claims a way of taking legal action against a person or business who owes money to demand repayment. ,Individuals,Taxpayers,,1174000,,1425658,658150,1174000,,1084411,153645,1071531,167134,1105455,172455,1170376,174633,1194822,172021,1252984,171163,1277911,,1260937,,1263463,,1252846,,1255868,,1298627,,1329665,,1432449,,1517654,,1517654
352,DWP,Department for Work and Pensions,Department for Work and Pensions,Carer's Allowance: existing claims,Requesting benefits payments or loans,https://www.gov.uk/carersallowance,Data for existing claimants of Carer's Allowance a regular payment for carers who help look after someone with substantial caring needs for at least 35 hours a week.,Individuals,Taxpayers,Maintaining claims involves many interactions with people across the duration of their claim. It includes contacts about changes of circumstances or compliance checks that could affect eligibility and the investigation of potential fraud and error. It also includes the making of payments and queries about nonreceipt.<br>The rolling year number of transactions given is the annual average of the number of cases on the caseload. The most recent quarterly data provided is a snap shot of total volumes of cases on the caseload (data obtained from StatXplore).,1010000,0,1030000,0,1040000,0,1049765,0,1060018,0,1068065,0,1071223,0,1075878,0,1083415,,1094573,0,1108228,,1124418,,1141640,,1157043,,1170775,0,1182160,0,1191808,0,1200991,0,1200991
255,DfT,Department for Transport,Driver and Vehicle Licensing Agency,Driver Certificate of Professional Competence (CPC): create or update records,Providing information,,Data for updates to Certificates of Professional Competence (CPC) details. ,Individuals,Fees and charges,,,,,,1764632,1533208,982070,808361,704121,,,,2971,0,3351,0,4445,0,4468,0,4523,0,4205,0,3866,0,3488,0,33388,0,64229,0,,0,,0,1764632
353,DWP,Department for Work and Pensions,Department for Work and Pensions,Child maintenance transactions,Requesting benefits payments or loans,https://www.gov.uk/childmaintenance,Data for applications for Child Maintenance financial support towrads a child’s everyday living costs when the parents have separated,Individuals,Taxpayers,The number of transactions given is the annual average of applications processed whether successful or not.,880000,0,900000,0,900000,0,900000,0,907500,0,905000,0,927500,0,,0,,,,0,,,,,,,,,,0,,0,,0,,0,927500
356,DWP,Department for Work and Pensions,Department for Work and Pensions,Employment and Support Allowance: new claims,Requesting benefits payments or loans,https://www.gov.uk/employmentsupportallowance/eligibility,Data for applications for Employment and Support Allowance the main benefit for people who are sick or disabled. ESA is replacing Incapacity Benefit Income Support and Severe Disablement Allowance.,Individuals,Taxpayers,New claims involve several interactions with the applicant and third partiessuch as medical professionals to for example arrange and undertake medicals assemble evidence to validate identity and eligibility in line with benefit regulations and fraud avoidance strategies issue NI numbers if the applicant does not have one and deal with any appeals against the decisions made.<br> The number of transactions given is the annual number of applications processed whether successful or not.<br>It covers new applications for ESA from initial enquiry through to the claim commencing payment.,740000,0,790000,0,810000,0,840000,0,870000,0,870000,0,890000,0,902800,0,901300,,907675,0,909404,,882011,,857297,,839651,,815688,0,812990,0,793315,0,774220,0,909404
355,DWP,Department for Work and Pensions,Department for Work and Pensions,Disability Living Allowance: new claims ,Requesting benefits payments or loans,https://www.gov.uk/dladisabilitylivingallowancebenefit,Data for applications for Disability Living Allowance which has been largely replaced by the Personal Independence Payment and is now only to help cover extra costs for a disabled child under 16 (DLA for children).,Individuals,Taxpayers,New claims involve several interactions with the applicant and third parties such as medical staff to for example assemble evidence to validate identity and eligibility in line with benefit regulations and fraud avoidance strategies issue NI numbers if the applicant does not have one and deal with any appeals against the decisions made.<br>The number of transactions given is the annual number of applications processed whether successful or not.,436000,,710000,30620,680000,26227,680000,21726,610000,16259,510000,12772,420000,7271,327400,3230,276200,,270043,411,278438,,267239,,260429,,226666,,188929,0,177075,0,166743,0,169607,0,710000
447,MoJ,Ministry of Justice,Legal Aid Agency,Legal aid in civil cases: acts of assistance,Requesting benefits payments or loans,,Data for applications for legal aid by people in a civil court case.,Individuals,Taxpayers,,,,,,925000,,643517,,515343,,409678,257710,290896,158009,282363,,282374,169068,281823,,279346,,278888,,275386,,272223,,268311,,268676,,266954,,262277,,925000
457,MoJ,Ministry of Justice,HM Courts & Tribunals Service,Social security and child support tribunal claims,Requesting benefits payments or loans,,Data for appeals to an independent body to dispute decisions about benefits tax credits or child support payments.,Individuals,Taxpayers,,,,,,507000,0,564931,0,575360,0,524606,0,369371,0,264506,,160014,,108289,,112119,,128260,,138972,,152224,,154655,,162659,,190546,,228622,,575360
433,MHCLG,Ministry of Housing Communities and Local Government,Planning Portal / Ministry of Housing Communities and Local Government,Planning applications: local planning authorities,Requesting a licence or consent,https://www.planningportal.co.uk/info/200126/applications/59/how_to_apply,Data for applications to local planning authorities for planning permission.,Individuals,Fees and charges,,550000,290000,,,476835,319723,480569,335391,486718,349820,489938,362882,496071,379899,488794,398211,483257,418946,480057,438605,482606,458330,482840,468887,484315,,483181,,474854,,483380,,483692,,485795,,550000
312,DHSC,Department of Health and Social Care,NHS Blood and Transplant,Blood donation: change of details,Amending/deleting information,http://www.blood.co.uk/,Data for changes of details for registered blood donors. ,Individuals,Taxpayers,,,,,,,,466173,,408717,,389250,,356489,,326331,0,289294,0,260595,0,251519,0,,0,256823,,283663,0,310261,0,324203,0,336087,,332574,,466173
317,DHSC,Department of Health and Social Care,NHS Business Services Authority,Maternity exemption (MATEX) certificate applications,Registering,http://www.nhsbsa.nhs.uk/1039.aspx,Data for applications for maternity exemption (MATEX) certificates for pregnant women and women who have had a baby in the last 12 months.,Individuals,Taxpayers,The NHS Business Services Authority administers Maternity Exemption Certificates for England only.<br>The MATEX certificate is required for free NHS prescriptions. A certificate can also be used as proof of entitlement to free NHS dental treatment.<br><br>Digital transactions are applications that were processed automatically rather than being via an online route.,,,,,463431,,460609,0,459749,0,460140,0,464893,0,462408,0,460216,0,460177,0,462396,0,465989,0,469680,0,471641,0,470256,0,475739,0,477245,0,484140,0,484140
434,MoD,Ministry of Defence,UK Hydrographic Office,UK Hydrographic Office digital sales,Ordering goods,https://www.ukho.gov.uk/_layouts/FBA/Login.aspx,Data for UKHO's digital sales.,Business,Taxpayers,,31000,,284244,284244,280000,,438477,438477,473585,473585,,,,,558518,558518,613618,613618,,,,,,,,,,,,,,,,,,,613618
376,FCO,Foreign and Commonwealth Office,Foreign and Commonwealth Office,Legalisation and Apostille certificate applications,Requesting a licence or consent,https://www.gov.uk/getdocumentlegalised,Data for public documents ‘legalised’ by the UK government confirming that a UK public official’s signature seal or stamp on the document is genuine.,Individuals,Fees and charges,,90406,,98705,,128240,,418685,,428859,,434966,,448487,,456092,,464089,,468223,0,472256,0,475698,0,477397,0,480121,0,482309,0,,,,,,,482309
319,DHSC,Department of Health and Social Care,NHS Business Services Authority,NHS Low Income Scheme: HC1 applications,Requesting benefits payments or loans,http://www.nhsbsa.nhs.uk/1125.aspx,Data for applications for help with charges for prescriptions dental treatment opticians travel and wigs from people who may be entitled to full or partial help if they have a low income. ,Individuals,Taxpayers,Digital transactions are not used in the processing of HC1 application forms. ,,,,,395539,0,393689,0,392051,0,389590,0,389358,0,385069,0,384103,0,385031,0,385747,0,389071,0,383332,,385569,,383487,0,382609,0,382575,0,378159,0,395539
318,DHSC,Department of Health and Social Care,NHS Business Services Authority,Medical exemption (MEDEX) certificate applications,Registering,http://www.nhsbsa.nhs.uk/1126.aspx,Data for applications for medical exemption (MEDEX) certificates for people with certain medical conditions. Holders of MEDEX certificates can get free NHS prescriptions.,Individuals,Taxpayers,"Data is for England only.<br>Volumes recorded for medical certificates issued can change retrospectively because:
<br>1. Certificates can be back dated by one month from the date of application received at NHSBSA.  
<br>2. Incomplete applications are returned to the customer; when the application is returned the original date is used to determine the start date.<br><br>Digital transactions are applications that were processed automatically rather than being via an online route.",,,,,339440,77429,359151,0,374579,0,375389,0,387207,0,390369,0,388471,0,399127,0,420647,0,433210,0,443555,0,446711,0,425186,0,422653,0,425528,0,429819,0,446711
446,MoJ,Ministry of Justice,HM Courts & Tribunals Service,Summons to carry out jury service,Requesting information,,Data for summons to serve on a jury sent to UK citizens by the Jury Central Summoning Board.,Individuals,[not provided],,,,,,344000,,344000,0,340518,0,333117,0,339606,0,341306,,348236,,280673,,,,,,,,,,,,,,,,,,348236
419,Home Office,Home Office,HM Passport Office,International applications for a UK passport,Requesting a licence or consent,https://www.gov.uk/overseaspassports,Data for applications by British nationals to renew or apply for a British passport from overseas.,Individuals,Fees and charges,The Home Office took responsibility for this service from the Foreign and Commonwealth Office in early 2014. ,,,,,345026,,340349,,320390,,,,,,165893,,214986,,311295,,435089,385533,460641,299516,450821,195270,450508,111208,467935,0,472516,0,470387,0,465247,0,472516
359,DWP,Department for Work and Pensions,Department for Work and Pensions,Income Support: new claims,Requesting benefits payments or loans,https://www.gov.uk/incomesupport/overview,Data for applications for Income Support which is paid to people on a low income who are working less than 16 hours a week haven’t signed on as unemployed or are a lone parent or carer.,Individuals,Taxpayers,New claims involve several interactions with applicants including assembling evidence to validate identity and eligibility issuing NI numbers and dealing with any appeals against decisions made.<br>The number of transactions given is the annual number of applications processed whether successful or not.,389000,0,370000,,360000,,340000,0,340000,0,330000,0,330000,0,324900,0,318800,,315754,0,,,,,299829,,292411,,281421,0,274804,0,265428,0,259627,0,389000
266,DfT,Department for Transport,Driver and Vehicle Licensing Agency,Personalised registration: transfers of numbers,Providing information,https://www.gov.uk/transferringvehicleregistrationnumberformv317,Data for applications to transfer a vehicle registration number from one vehicle to another.,Individuals,Fees and charges,The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process care should be taken in using the data to support analysis of DVLA business.,312158,,,,346711,0,310319,0,304432,0,295742,0,291532,0,283567,0,287641,0,294365,0,295516,0,293781,0,268216,0,232276,0,193680,0,151989,0,125549,0,112459,0,346711
350,DWP,Department for Work and Pensions,Department for Work and Pensions,Attendance Allowance: new claims,Requesting benefits payments or loans,https://www.gov.uk/attendanceallowance,Data for new claims for people aged 65 or over who need help with personal care because they are physically or mentally disabled.,Individuals,Taxpayers,New claims involve several interactions with applicants including assembling evidence to validate identity and eligibility issuing NI numbers and dealing with any appeals against decisions made.<br>The number of transactions given is the annual number of applications processed whether successful or not.,322000,0,330000,9740,320000,8298,310000,7021,300000,5962,300000,6152,310000,4906,308900,3549,323200,,334704,453,339514,,354950,,349893,,341893,,340674,0,337773,0,323115,0,322791,0,354950
316,DHSC,Department of Health and Social Care,Department of Health,Healthy Start vouchers: applications,Requesting benefits payments or loans,http://www.healthystart.nhs.uk/healthystartvouchers/howtoapply/,Data for applications for Healthy Start vouchers to spend on milk fresh and frozen fruit and vegetables and infant formula milk. ,Individuals,[not provided],,,,,,336400,,288686,,276761,,268907,,267964,,261145,,253444,,235986,,227582,,220854,,212652,,215240,,209042,,213197,,224651,,249759,,336400
456,MoJ,Ministry of Justice,HM Courts & Tribunals Service,Probate applications,Providing information,http://www.justice.gov.uk/courts/probate/applications,Data for applications for the legal right to deal with the estate of someone who's died.,Individuals,Taxpayers,Volumes before January 2015 are based on an annual number divided by 4 to gain a mean value per quarter.,261000,,260000,,261000,0,261000,0,261000,0,261066,0,,0,260969,,195856,,193292,,196306,,203038,,213775,,215611,,213680,,211776,,203559,,200789,,261066
449,MoJ,Ministry of Justice,Legal Aid Agency,Legal aid in criminal cases: acts of assistance for higher claims,Requesting benefits payments or loans,,Data for applications for legal aid by people accused of a higher case criminal offence (crown court claims).,Individuals,Taxpayers,,,,,,,,236758,,235450,,232467,,231326,,229180,,228741,,230117,,228289,,227812,,227072,,219540,,220249,,220952,,219261,,219486,,236758
242,DfT,Department for Transport,Driver and Vehicle Licensing Agency,Digital tachograph card applications,Requesting a licence or consent,https://www.gov.uk/government/organisations/vehicleandoperatorservicesagency/series/approvedtachographcentreformsandguidance,Data for applications for a company control driver or work digital tachograph card.,Business,Fees and charges,The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process care should be taken in using the data to support analysis of DVLA business.,311565,,,,287026,0,232762,0,178269,,133174,,77186,0,76565,0,76165,0,73763,0,72107,0,69509,0,67484,0,66797,0,66137,0,65602,0,64068,0,62512,0,311565
444,MoJ,Ministry of Justice,HM Courts & Tribunals Service,Money claims: enforcement applications,Registering,,Data for warrants issued for money claims to ask the court to enforce a successful money claim.,Individuals,[not provided],,,,,,264000,,215521,0,216395,0,219807,0,218999,0,216828,,222833,,221750,,227337,,253552,,250608,,253184,,251361,,254174,,266950,,282007,,282007
453,MoJ,Ministry of Justice,HM Courts & Tribunals Service,Mortgage and landlord possession claims,Providing information,https://www.gov.uk/possessionclaimonlinerecoverproperty,Data for court actions taken to recover property when people are owed money by tenants or mortgage holders. ,Individuals,Taxpayers,,302400,,300000,,215000,,215247,174019,220922,129276,224110,105167,227130,147130,224231,158473,216024,152436,205928,,193883,,185668,,178759,,173549,,168471,,165849,,161072,,155844,,302400
